Date,Sales,Month,Sales.Bil,Deflated,,Year,Inf,Inf.100,Adj.Coeffs,,Sales.Bil.Smoothed,W,,Actual,Predicted,Residual,Lag1
Jan-92,164095,1,164.095,164.095,,1992,0.00%,100.00%,1,,164.095,0.5,,164.095,183.9032,-19.8082,
Feb-92,164213,2,164.213,164.213,,1993,2.96%,102.96%,0.971250971,,164.154,,,164.213,184.2064,-19.9934,-19.8082
Mar-92,163721,3,163.721,163.721,,1994,2.61%,105.65%,0.946546118,,163.9375,,,163.721,184.5096,-20.7886,-19.9934
Apr-92,164709,4,164.709,164.709,,1995,2.81%,108.62%,0.920675146,,164.32325,,,164.709,184.8128,-20.1038,-20.7886
May-92,165612,5,165.612,165.612,,1996,2.93%,111.80%,0.894467255,,164.967625,,,165.612,185.116,-19.504,-20.1038
Jun-92,166077,6,166.077,166.077,,1997,2.34%,114.41%,0.874015297,,165.5223125,,,166.077,185.4192,-19.3422,-19.504
Jul-92,167257,7,167.257,167.257,,1998,1.55%,116.19%,0.860674837,,166.3896563,,,167.257,185.7224,-18.4654,-19.3422
Aug-92,167800,8,167.8,167.8,,1999,2.19%,118.73%,0.84223,,167.0948281,,,167.8,186.0256,-18.2256,-18.4654
Sep-92,169400,9,169.4,169.4,,2000,3.38%,122.75%,0.814693365,,168.2474141,,,169.4,186.3288,-16.9288,-18.2256
Oct-92,170625,10,170.625,165.7196969,,2001,2.83%,126.22%,0.792272065,,166.9835555,,,165.7196969,186.632,-20.91230307,-16.9288
Nov-92,171003,11,171.003,161.8622258,,2002,1.59%,128.23%,0.779872099,,164.4228907,,,161.8622258,186.9352,-25.07297418,-20.91230307
Dec-92,173105,12,173.105,159.3734711,,2003,2.27%,131.14%,0.762561943,,161.8981809,,,159.3734711,187.2384,-27.86492885,-25.07297418
Jan-93,175108,13,175.108,170.073815,,2004,2.68%,134.65%,0.74265869,,165.985998,,,170.073815,187.5416,-17.46778497,-27.86492885
Feb-93,173744,14,173.744,168.7490287,,2005,3.39%,139.22%,0.718308047,,169.864999,,,168.7490287,187.8448,-19.09577129,-17.46778497
Mar-93,172306,15,172.306,167.3523698,,2006,3.24%,143.73%,0.695765253,,171.0854995,,,167.3523698,188.148,-20.79563019,-19.09577129
Apr-93,176749,16,176.749,171.6676379,,2007,2.85%,147.82%,0.676485418,,173.9172497,,,171.6676379,188.4512,-16.78356213,-20.79563019
May-93,178426,17,178.426,173.2964258,,2008,3.85%,153.51%,0.651406277,,176.1716249,,,173.2964258,188.7544,-15.45797425,-16.78356213
Jun-93,178157,18,178.157,173.0351592,,2009,-0.34%,152.99%,0.653628614,,177.1643124,,,173.0351592,189.0576,-16.02244076,-15.45797425
Jul-93,180743,19,180.743,175.5468143,,2010,1.64%,155.50%,0.643082068,,178.9536562,,,175.5468143,189.3608,-13.81398575,-16.02244076
Aug-93,180707,20,180.707,175.5118492,,2011,3.16%,160.41%,0.62338316,,179.8303281,,,175.5118492,189.664,-14.15215078,-13.81398575
Sep-93,181773,21,181.773,176.5472028,,2012,2.07%,163.74%,0.610740825,,180.8016641,,,176.5472028,189.9672,-13.41999725,-14.15215078
Oct-93,182884,22,182.884,177.6262626,,2013,1.47%,166.14%,0.601892998,,181.842832,,,177.6262626,190.2704,-12.64413742,-13.41999725
Nov-93,184747,23,184.747,179.4357031,,2014,1.62%,168.83%,0.592297774,,183.294916,,,179.4357031,190.5736,-11.13789686,-12.64413742
Dec-93,186399,24,186.399,181.0402097,,2015,0.12%,169.04%,0.591587869,,184.846958,,,181.0402097,190.8768,-9.836590257,-11.13789686
Jan-94,185142,25,185.142,179.8193473,,2016,1.26%,171.17%,0.584226613,,184.994479,,,179.8193473,191.18,-11.3606527,-9.836590257
Feb-94,188074,26,188.074,182.6670552,,2017,2.13%,174.81%,0.572042116,,186.5342395,,,182.6670552,191.4832,-8.8161448,-11.3606527
Mar-94,191579,27,191.579,186.0712898,,2018,2.44%,179.08%,0.558416748,,189.0566198,,,186.0712898,191.7864,-5.7151102,-8.8161448
Apr-94,191639,28,191.639,186.1295649,,2019,1.81%,182.32%,0.548489095,,190.3478099,,,186.1295649,192.0896,-5.9600351,-5.7151102
May-94,190929,29,190.929,185.4399767,,,,,,,190.6384049,,,185.4399767,192.3928,-6.9528233,-5.9600351
Jun-94,193130,30,193.13,187.5777001,,,,,,,191.8842025,,,187.5777001,192.696,-5.1182999,-6.9528233
